,id_cliente,cancelacion,genero,adulto_mayor,tiene_pareja,tiene_dependientes,antiguedad,servicio_de_telefono,lineas_multiples,servicio_internet,seguridad_en_linea,respaldo_en_linea,proteccion_dispositivo,soporte_tecnico,streaming_tv,streaming_peliculas,periodicidad_de_contrato,factura_electronica,forma_de_pago,cargos_mensuales,cargos_totales,cargos_diarios
0,0002-ORFBO,0,Femenino,0,1,1,9,1,0,DSL,0,1,0,1,1,0,Anual,1,Cheque,65.6,593.3,2.1550591327201047
1,0003-MKNFE,0,Masculino,0,0,0,9,1,1,DSL,0,0,0,0,0,1,Mensual,0,Cheque,59.9,542.4,1.9678055190538764
2,0004-TLHLJ,1,Masculino,0,0,0,4,1,0,Fibra óptica,0,0,1,0,0,0,Mensual,1,Cheque electrónico,73.9,280.85,2.4277266754270697
3,0011-IGKFF,1,Masculino,1,1,0,13,1,0,Fibra óptica,0,1,1,0,1,1,Mensual,1,Cheque electrónico,98.0,1237.85,3.219448094612352
4,0013-EXCHZ,1,Femenino,1,1,0,3,1,0,Fibra óptica,0,0,0,1,1,0,Mensual,1,Cheque,83.9,267.4,2.7562417871222076
5,0013-MHZWF,0,Femenino,0,0,1,9,1,0,DSL,0,0,0,1,1,1,Mensual,1,TDC,69.4,571.45,2.2798948751642576
6,0013-SMEOE,0,Femenino,1,1,0,71,1,0,Fibra óptica,1,1,1,1,1,1,Bienal,1,Tranferencia electrónica,109.7,7904.25,3.6038107752956634
7,0014-BMAQU,0,Masculino,0,1,0,63,1,1,Fibra óptica,1,0,0,1,0,0,Bienal,1,TDC,84.65,5377.8,2.780880420499343
8,0015-UOCOJ,0,Femenino,1,0,0,7,1,0,DSL,1,0,0,0,0,0,Mensual,1,Cheque electrónico,48.2,340.35,1.583442838370565
9,0016-QLJIS,0,Femenino,0,1,1,65,1,1,DSL,1,1,1,1,1,1,Bienal,1,Cheque,90.45,5957.9,2.971419185282523
10,0017-DINOC,0,Masculino,0,0,0,54,0,2,DSL,1,0,0,1,1,0,Bienal,0,TDC,45.2,2460.55,1.4848883048620236
11,0017-IUDMW,0,Femenino,0,1,1,72,1,1,Fibra óptica,1,1,1,1,1,1,Bienal,1,TDC,116.8,8456.75,3.8370565045992113
12,0018-NYROU,0,Femenino,0,1,0,5,1,0,Fibra óptica,0,0,0,0,0,0,Mensual,1,Cheque electrónico,68.95,351.5,2.265111695137976
13,0019-EFAEP,0,Femenino,0,0,0,72,1,1,Fibra óptica,1,1,1,0,1,0,Bienal,1,Tranferencia electrónica,101.3,7261.25,3.3278580814717476
14,0019-GFNTW,0,Femenino,0,0,0,56,0,2,DSL,1,1,1,1,0,0,Bienal,0,Tranferencia electrónica,45.05,2560.1,1.4799605781865963
15,0020-INWCK,0,Femenino,0,1,1,71,1,1,Fibra óptica,0,1,1,0,0,1,Bienal,1,TDC,95.75,6849.4,3.145532194480946
16,0020-JDNXP,0,Femenino,0,1,1,34,0,2,DSL,1,0,1,1,1,1,Anual,0,Cheque,61.25,1993.2,2.01215505913272
17,0021-IKXGC,0,Femenino,1,0,0,1,1,1,Fibra óptica,0,0,0,0,0,0,Mensual,1,Cheque electrónico,72.1,72.1,2.3685939553219444
18,0022-TCJCI,1,Masculino,1,0,0,45,1,0,DSL,1,0,1,0,0,1,Anual,0,TDC,62.7,2791.5,2.059789750328515
19,0023-HGHWL,1,Masculino,1,0,0,1,0,2,DSL,0,0,0,0,0,0,Mensual,1,Cheque electrónico,25.1,25.1,0.8245729303547963
20,0023-UYUPN,0,Femenino,1,1,0,50,1,1,No,2,2,2,2,2,2,Anual,0,Cheque electrónico,25.2,1306.3,0.8278580814717477
21,0023-XUOPT,1,Femenino,0,1,0,13,1,1,Fibra óptica,0,1,1,0,1,0,Mensual,0,Cheque electrónico,94.1,1215.6,3.0913272010512483
22,0027-KWYKW,0,Femenino,0,1,1,23,1,1,Fibra óptica,0,0,0,0,1,0,Mensual,1,Cheque electrónico,83.75,1849.95,2.7513140604467803
